V1,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - Engineering,Collegiate Senator - Engineering,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus
ResponseID,Alejandra Melgoza - Independent,Austin Hechler - Campus United,Jose Magana - Peer Action Coalition (PAC),Write-In,Write-In-TEXT,Write-In,Write-In-TEXT,Write-In,Write-In-TEXT,Ashcon Minoiefar - Campus United,Neha Nayak - Campus United,Stevan Abdalmalik - The Response,Victor Garcia - Peer Action Coalition (PAC),"Josephine ""Josie"" Ampaw - Independent",Cameron Demille - Peer Action Coalition (PAC),"Felipe ""Flippy"" Recinos Quant - The Response","Williams ""Willie"" Roman - The Response",Marjan Abubo - The Response,Alexander Giolito - Campus United,Tamar Barlev - Campus United,Jasmine Sandhu - Campus United,Kimberly Fuentes Carrillo - Peer Action Coalition (PAC),Steven Kwok - Peer Action Coalition (PAC),"Richard ""Rick"" Zierer - Peer Action Coalition (PAC)","Emanuel ""Manny"" Suarez Jimenez - Queer and Trans Student Body (QuTSB)",Ezra Kosviner - Campus United,"Jordan ""Robeman"" Mitchell - The Response",Adam Tabor - Peer Action Coalition (PAC),"Matthew ""Matt"" Greenberg - Campus United",Kelvin Campos - Peer Action Coalition (PAC),"Jonathan ""Jonathan Lopez"" Lopez - The Response",Jesse Velasquez - The Response,Leanna Lugo - The Response,Luvia Solis-Barraza - The Response,Maria Hoang - The Response,Reilly Hobson - Campus United,Bianca Fernandez - Campus United,Elias Jordan - Campus United,Cole Marting - Campus United,"Steven ""Digy"" Stovall - Campus United",Patrick Dohoney - Campus United,Rebecca Yadegari - Campus United,Batsheva Stoll - Campus United,"Izabella ""Izzy"" Kipnis - Campus United",Hannah Ellenhorn - Campus United,Ashley Selki - Campus United,Cole Hyatt - The Response,Joel Ruiz - Peer Action Coalition (PAC),Hien Mai - The Response,Sophia Dycaico - Peer Action Coalition (PAC),Sebastian Rubio Ruiz - Peer Action Coalition (PAC),Aaron Hendizadeh - Campus United,Marisol Hernandez - Peer Action Coalition (PAC),Juliano Pula - Peer Action Coalition (PAC),Lesly Silva - The Response,"Bryan ""Bryan"" Samayoa-Velasquez - Campus United","Kuvimbanashe ""Eddy"" Chikukwa - Peer Action Coalition (PAC)","Kou ""KO"" Collins - Peer Action Coalition (PAC)",Conor Collins - Peer Action Coalition (PAC),Unique Vance - The Response,"Yanira ""Jenny"" Flores - The Response",Deanna Nguyen - Campus United,"Sabrina ""Sabrina"" Divin - Peer Action Coalition (PAC)"
R_00000000000013,1,,2,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,
R_00000000000014,3,2,1,2,Natalie Jordan,3,Manushi Yapabandara,1,Kanye West,1,3,2,1,1,,,,1,3,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1
R_00000000000015,,,,1,Manushi Yapabandara ,,,,,,3,2,1,1,2,,,1,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,3,2,5,,,
R_00000000000016,2,3,1,1,Kanye West ,2,Natalie Jordan ,3,Manushi Yapabandara ,,3,2,1,1,4,,,1,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1
R_00000000000017,3,1,2,,,,,,,1,1,2,3,1,,3,,,,2,1,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,
R_00000000000018,3,2,1,1,Natalie Jordan,,,,,1,3,2,1,1,1,2,3,,,4,,,,,,,,,,,,1,,,,,,12,4,2,5,9,14,,,,8,6,7,,13,10,,11,,,,,,,,,
R_00000000000019,1,3,2,,,,,,,1,3,1,2,1,,3,4,1,,,,,,,2,,,,,,5,6,2,4,7,,,,,,10,,9,,,,8,11,1,12,,,13,14,,,,,,,,,
R_00000000000020,1,3,2,1,Manushi Yapabandara,,,,,1,3,1,2,1,,3,2,1,,,,,4,,,,,,,,1,4,8,5,6,,,,,12,,,11,,,,2,,7,10,,,9,,,,,,,,,,
R_00000000000021,1,3,2,1,Manushi Yapabandara,,,,,,3,1,2,1,,2,,1,,,,4,3,,,,,,,,2,1,5,6,4,,,,,,,,,,,,7,8,9,10,11,,12,13,,,,,,,,,
R_00000000000022,,1,,1,Nataile Jordan,,,,,,1,,,,,,,,3,2,1,,4,,,,,,,,,,,,,2,13,4,5,6,7,8,9,10,11,12,,,,,,1,,,,,,,,,,,
R_00000000000023,2,1,3,1,Natalie Jordan,,,,,1,1,2,3,1,,,,,1,2,3,,,,4,,,,,,,,,,,7,2,4,5,6,1,8,9,10,11,12,,,,,,13,,14,,,,,,,,,
R_00000000000024,,1,,,,,,,,1,1,,,,,,,,2,3,1,,,,,,,,,,,,,,,2,4,5,6,1,7,8,9,10,11,12,,,,,,,,,,,,,,,,,
R_00000000000025,2,3,1,,,,,,,1,3,1,2,1,,,,3,,1,,4,,,2,,,,,,5,6,7,8,9,10,4,11,12,13,14,2,1,,,,,,,,,,,,,,,,,,,,
R_00000000000026,2,,1,1,Kanye West,2,Manushi Yapabandara ,,,1,,2,1,1,2,,,3,,,,4,1,,,,,,,,11,10,9,8,7,,,,,,,,,,,13,6,4,14,1,2,,12,5,,,,,,,,,
R_00000000000027,3,1,2,,,,,,,1,1,3,2,1,4,,,,2,,1,,,,3,,,,,,13,12,6,,2,,11,,,,8,,7,,1,,5,,,4,10,14,9,,,,,,,,,,
R_00000000000028,1,3,2,1,Alejandra Melgoza,2,Jose Magana,3,Austin Hechler,,3,1,2,,,,,2,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000029,2,1,,,,,,,,1,1,2,3,1,,,,,3,1,2,4,,,,,,,,,,,,,,8,9,6,2,7,13,5,11,12,1,4,,14,,,,10,,,,,,,,,,,
R_00000000000030,3,1,2,,,,,,,1,1,3,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000031,2,,1,1,Munushi Yapabandara,2,Kanye West,,,,,1,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,
R_00000000000032,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,1,2,3,,,,,,,,,,,,,,,,,,1,,,,4,2,,,,,,,,,,,,,,,,,,,
R_00000000000033,,,,,,,,,,,1,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000034,2,1,3,1,Natalie Jordan,,,,,1,1,2,3,1,,,4,,2,1,3,,,,,,,,,,,,,,,8,7,6,5,4,2,,,,,,,,,1,,,,,,,,,,,,,
R_00000000000035,2,1,3,1,Justin Chen,,,,,1,1,3,2,1,,,,,3,1,2,,,,4,,,,,,,,,,,,,,,1,,2,,,4,6,,,,,,5,,,,,,,,,,,
R_00000000000036,1,3,2,,,,,,,1,3,1,2,1,2,,1,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,5,1,2,,,
R_00000000000037,1,3,2,1,Manushi Yapabandara,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000038,2,1,3,1,Natalie Jordan,,,,,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,
R_00000000000039,2,1,3,1,Juliano Pula,,,,,1,1,3,2,1,,,,,3,4,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
R_00000000000040,2,1,3,1,Manushi Yapabandara,,,,,1,3,2,1,1,2,,,,,,,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_00000000000041,3,2,1,1,Lenny Parker,,,,,1,3,1,2,1,,1,3,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_00000000000042,2,3,1,,,,,,,1,1,3,2,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_00000000000043,,1,,1,Natalie Jordan ,,,,,1,1,,,,,,,,2,1,3,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000000044,1,,2,,,,,1,Manushi Yapabandara,1,,1,2,1,,3,2,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,
R_00000000000045,1,,2,,,,,,,,,1,,1,,1,2,3,,,,,,,,,,,,,5,8,4,2,6,,,,,,,,,,,,7,,1,,,,,,,,,,,,,,
R_00000000000046,,1,,1,Natalie Jordan ,,,,,1,1,,,1,,,,,3,1,2,,,,,,,,,,,,,,,6,7,11,5,4,2,12,9,10,13,1,,,,,,8,,,,,,,,,,,
R_00000000000047,2,1,3,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000048,1,3,2,,,,,,,1,3,1,2,1,,2,4,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2
R_00000000000049,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,4,,1,,2,,,,,,,,,,5,,,,,,,,,,,
R_00000000000050,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000051,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_00000000000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000053,2,3,1,,,,,,,,3,1,2,1,,,3,,,,2,,1,,4,,,,,,,,,,1,2,4,,,5,,6,,,,,7,,,,,,,8,,,,,,,,,
R_00000000000054,2,1,3,1,Abstain,2,Abstain,3,Abstain,1,1,3,2,1,,,4,,3,1,2,,,,,,,,,,,,,,,1,,2,4,5,6,7,8,9,10,11,,,,,,12,14,13,,,,,,,,,
R_00000000000055,1,3,2,1,Manushi Yapabandara,,,,,,3,1,2,1,,,3,1,,,,4,,,2,,,,,,2,1,4,5,6,,12,,,,,,14,,,,7,13,8,9,10,,11,,,,,,,,,,
R_00000000000056,3,1,2,,,,,,,,2,3,1,,1,,,,,,4,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,2,1,5,,,
R_00000000000057,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,1,3,2,,,,,,,,,,,,,,,10,9,8,1,7,6,5,4,2,11,12,,,,,,13,,,,,,,,,,,
R_00000000000058,,,,,,,,,,1,3,1,2,1,,2,4,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,,,2,,,
R_00000000000059,2,1,3,,,,,,,1,1,2,3,1,4,,,,2,1,3,,,,,,,,,,,,,,,13,12,2,1,5,6,7,8,4,9,10,,,14,,,11,,,,,,,,,,,
R_00000000000060,2,3,1,1,Alejandra Melgoza,,,,,1,3,1,2,1,,,,,4,1,,,,3,2,,,,,,,,,2,4,,,,,,,,,,,,5,,1,,,,7,6,,,,,,,,,
R_00000000000061,2,1,3,1,Natalie Jordan,,,,,1,1,3,2,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000062,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,3,1,2,,,,,,,,,,,,,,,2,1,4,5,6,7,8,9,10,11,12,,,,,,13,,,,,,,,,,,
R_00000000000063,1,3,2,,,,,,,,3,1,2,1,,2,4,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2
R_00000000000064,3,1,2,,,,,1,Natalie Jordan,1,1,3,2,1,3,,,,4,2,1,,,,,,,,,,,,,,,,2,,4,5,,,,,1,,,,,,,,,,,,,,,,,,
R_00000000000065,,1,,,,,,,,,1,,,,,,,,2,3,1,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,
R_00000000000066,3,1,2,1,Natalie Jordan,,,,,1,1,3,2,1,,,,,2,1,3,,,,,,,,,,,,,,,11,1,,,6,2,4,7,10,5,9,,,,,,8,,,,,,,,,,,
R_00000000000067,3,1,2,,,,,,,1,3,2,1,1,,,,2,3,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,5,2,,,,
R_00000000000068,1,2,3,,,,,,,1,1,3,2,1,,,,1,,,3,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,4,5,,,,
R_00000000000069,1,,2,1,Manushi Yapandabra ,,,,,1,,1,,1,,1,3,2,,,,,,,,,,,,,6,8,4,7,5,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,
R_00000000000070,3,1,2,1,Natalie Jordan,,,,,1,1,2,3,1,,,,,1,2,3,,,,4,,,,,,,,,,,1,5,8,6,2,4,11,7,9,13,12,,,,,,10,,14,,,,,,,,,
R_00000000000071,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000072,1,3,2,1,Manushi Yapandabara,,,,,1,3,1,2,1,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,3,4,2,,,
R_00000000000073,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000074,1,2,3,1,Natalie Jordan,,,,,1,1,2,3,1,,,,,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
R_00000000000075,3,1,2,1,Natalie Jordan ,,,,,1,1,3,2,,,,,,3,1,2,,,,,,,,,,,,,,,4,5,6,7,8,9,10,11,12,13,1,,,,,,2,,,,,,,,,,,
R_00000000000076,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,
R_00000000000077,,1,,,,,,,,1,1,,,,,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,4,5,2,1,,,,,,,,,,,,,,,,,,
R_00000000000078,1,,2,,,,,,,,,1,,1,,2,3,1,,,,,,,,,,,,,7,8,5,2,4,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,
R_00000000000079,,,,,Manushi Yapabandara,,,,,,3,1,2,,,3,2,1,,,,,,,,,,,,,1,5,4,,6,,,,,,,,,,,,2,,7,,,,,,,,,,,,,,
R_00000000000080,3,1,2,,,,,,,1,1,2,3,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3
R_00000000000081,3,1,2,1,Natalie Jordan,,,,,1,1,3,2,1,4,,,,2,3,1,,,,,,,,,,,,14,,,13,1,12,11,10,9,8,7,6,2,5,,,,,,4,,,,,,,,,,,
R_00000000000082,1,3,2,1,Alejandra Melgoza,,,,,,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000083,2,3,1,1,Jordan Nguyen,,,,,1,,,1,1,,,,,,,,,,,,,,,,1,1,2,4,5,6,,,,,,,,,,,,7,8,9,10,11,,12,13,,,,,,,,,
R_00000000000084,1,3,2,,,,,,,1,3,1,2,1,,2,4,,,,,3,,,1,,,,,,5,1,6,7,9,8,10,11,12,13,14,,,,,,,4,,,2,,,,,,,,,,,,
R_00000000000085,1,2,3,1,Abush kolko,2,Manushi Yapabandara,,,1,,1,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000086,3,2,1,,,,,,,1,3,1,2,1,,1,2,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,3,4,1,,,
R_00000000000087,1,3,2,,Manushi Yapabandara,,,,,,3,1,2,,,3,2,1,,,,,,,4,,,,,,1,4,8,5,6,,,,,,,,,,,,2,,7,,,,,,,,,,,,,,
R_00000000000088,2,1,3,,,,,,,1,1,2,3,1,,,,,,3,2,,1,,4,,,,,,,9,,2,,,1,8,,10,,7,11,12,4,,14,,13,5,,,6,,,,,,,,,,
R_00000000000089,2,3,1,,,,,,,1,3,2,1,1,,1,,,,3,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_00000000000090,2,3,1,1,Manushi Yapabandara,,,,,1,3,1,2,1,,,,2,,3,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
R_00000000000091,,1,,1,Natalie Jordan,,,,,,1,,,1,,,,,1,3,2,,,,,,,,,,,,,,,10,6,8,9,7,1,12,5,11,13,4,,,,14,,2,,,,,,,,,,,
R_00000000000092,2,1,3,,,,,,,1,1,3,2,1,,,,,3,1,2,,,,4,,,,,,,,,,,13,7,8,9,10,11,5,4,12,6,1,,,,14,,2,,,,,,,,,,,
R_00000000000093,1,,2,1,Manushi Yapabandara,,,,,,,1,,1,,2,3,1,,,,,,,4,,,,,,7,8,6,4,1,,,,,,,,,,,,5,9,2,,,,11,10,,,,,,,,,
R_00000000000094,,1,,,,,,1,Natalie Jordan,1,,,,,,,,,3,1,2,,,,,,,,,,,,,,,4,12,1,5,2,6,11,10,9,,7,,,,,,8,,,,,,,,,,,
R_00000000000095,,,,,,,,,,1,,,,,,,2,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000000096,3,1,2,1,Natalie Jordan,,,,,1,1,3,2,1,,,,,3,1,2,,,,4,,,,,,,,,,,12,1,11,10,13,4,9,8,7,6,5,,,,,,2,,14,,,,,,,,,
R_00000000000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000000099,2,1,3,,,,,,,1,1,,,,,,,,1,2,3,,,,,,,,,,,,,,,7,2,9,13,11,12,10,6,4,1,8,,,,,,5,,,,,,,,,,,
R_00000000000100,2,1,3,1,Natalie Jordan,,,,,1,1,3,2,,,,,,1,2,3,4,,,,,,,,,,,,,,13,2,4,5,7,1,10,9,11,8,12,,,,,,6,,14,,,,,,,,,
R_00000000000101,3,2,1,,,,,,,1,2,3,1,1,,3,,,2,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,1,2,,,,
R_00000000000102,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000103,2,1,3,,,,,,,1,1,3,2,1,,,,,3,2,1,,,,4,,,,,,,,,,,10,9,8,11,2,12,7,1,6,13,5,,,,14,,4,,,,,,,,,,,
R_00000000000104,3,1,2,1,Natalie Jordan,,,,,1,1,3,2,,4,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,3,4,,,,
R_00000000000105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000106,3,2,1,,,,,,,1,1,3,2,1,,3,4,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,4,5,,,,
R_00000000000107,1,3,2,1,Manushi Yapabandara,,,,,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000108,1,2,3,1,Manushi Yapabandara,2,Natalie Jordan,,,1,3,1,2,1,,,,,4,3,,,1,,2,,,,,,,,4,,2,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,
