ResponseId,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Engineering,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
Response ID,Brooke Kopel - Campus United,"Justice ""For All"" Dumlao - Isla Vista Party",Anthony Pimentel - Campus United,Steven Ho - Isla Vista Party,Jeike Meijer - Isla Vista Party,Sophia Dycaico - Campus United,Madeline Loudon - Campus United,Mayela Morales - Isla Vista Party,"Grecia ""grec"" Martinez - Independent",Rose Ettleson - Independent,Alex Funk - Campus United,"Allison ""Alli"" Adam - Campus United",Emily Quach - Campus United,Gabriella Shofet - Campus United,"Joshua ""Josh"" Takeuchi - Campus United","Ricardo ""Ricky"" Uribe - Isla Vista Party","Xochitl ""Xo"" Briseno - Isla Vista Party",Adam Chohan - Campus United,"Alexander ""Alex"" Young - Campus United","Alexis ""Lexi"" Bettencourt - Campus United","Amy ""Amy"" Zhou - Campus United",Andrew Nguyen - Campus United,Ashley Ng - Isla Vista Party,Carla Cernat - Campus United,Christian Ornelas - Isla Vista Party,Dallin Mello - Isla Vista Party,"Diego ""D"" Cobos - Isla Vista Party","Gabriel ""Gabe"" Etaat - Isla Vista Party","Jalia ""Jolly"" Carlton-Carew - Isla Vista Party",Jasmine Palmerin - Isla Vista Party,"Mordi ""Mordi"" Shadpour - Campus United",Nicole Estess - Campus United,"Rafael ""Rafa"" Cornejo - Isla Vista Party",Ryan Clark - Isla Vista Party,"Salvador ""Sal"" Hernandez Arellano - Isla Vista Party",Sarah Eizner - Campus United,Sydney Karmes-Wainer - Campus United,Yara Khamis - Campus United,Zachary Zeising - Campus United,Diego Reyes - Isla Vista Party,Eric Moon - Campus United,"Joel ""Joey"" Medina - Isla Vista Party",Lea Toubian - Campus United,Melissa Perez - Isla Vista Party,Sam Melamed - Campus United,Yasamin Salari - Isla Vista Party,Yash Nagpal - Campus United,Zion Solomon - Isla Vista Party,Anthony Hernandez - Campus United,Vanessa Maldonado - Isla Vista Party,Juan Ornelas - Isla Vista Party,Nima Bencohen - Campus United
R_00000000002264,2,1,2,1,2,1,2,1,1,2,,4,,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
R_00000000002265,2,1,2,1,1,2,2,1,2,1,,,4,3,,2,1,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
R_00000000002266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002267,2,1,2,1,1,2,2,1,2,1,,,3,4,,1,2,,,10,,,1,,6,9,5,,8,7,12,,4,2,3,,,,11,,,,,,,,,,,,,
R_00000000002268,2,1,2,1,1,2,2,1,1,2,,,,,,1,2,,,,,,4,,6,8,7,9,2,5,,,1,10,3,,,,,,,,,,,,,,,,,
R_00000000002269,2,1,,,2,1,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002270,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000002271,,,,1,1,,,1,1,2,,,,4,1,3,2,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,
R_00000000002272,2,1,2,1,1,2,2,1,2,1,,1,,3,,4,2,,,7,9,4,,,,11,,10,6,12,8,,,,2,1,3,,5,,,,,,,,,,,,,
R_00000000002273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002274,1,2,1,2,2,1,1,2,2,1,,1,3,2,4,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
R_00000000002275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000002276,1,2,2,1,2,1,1,2,2,1,,4,,,2,3,1,,11,8,10,6,,,12,4,,5,,,3,,,,,1,2,7,9,,,,,,,,,,,,,
R_00000000002277,1,2,1,2,2,1,1,,,,,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,4,,3,,,,,
R_00000000002278,2,1,2,1,1,2,2,1,2,1,,,3,4,,2,1,,,,,,1,,8,3,7,,6,4,,,2,,5,,,,,,,,,,,,,,,,,
R_00000000002279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002280,2,1,1,2,1,2,2,1,1,2,,,1,3,,4,2,,,,,,,,,,,,,,,,,,,,,,,5,,2,,3,,4,,1,,,,
R_00000000002281,,1,,1,1,,,1,,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,3,,4,,2,,5,,1,,,,
R_00000000002282,1,2,2,1,1,2,2,1,1,2,,4,1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,2,,1,5,,,,
R_00000000002283,2,1,2,1,1,2,2,1,,,,2,1,,,3,4,,,,,,,,,,,,,,,,,,,,,,,5,,4,,2,,1,,3,,,,
R_00000000002284,,1,1,,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
R_00000000002285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002286,1,2,2,1,2,1,1,2,,1,,,4,3,,1,2,,,1,2,6,,8,,,7,,11,10,,,9,4,5,12,,,3,,,,,,,,,,,,,
R_00000000002287,,1,,1,1,,,1,,1,,4,3,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,3,,2,,1,,,,
R_00000000002288,2,1,2,1,1,2,2,1,1,2,,4,,,3,2,1,,,,,,9,,6,5,3,10,7,4,11,,2,8,1,,,,12,,,,,,,,,,,,,
R_00000000002289,1,2,2,1,1,2,1,2,1,2,,,,,,,,5,,,,3,1,10,4,,,,11,7,,8,12,2,,9,6,,,,,,,,,,,,,,,
R_00000000002290,1,2,1,2,2,1,1,2,2,1,,4,1,2,3,,,1,6,10,3,9,,4,,,,,,,7,5,,,,12,11,8,2,,,,,,,,,,,,,
R_00000000002291,1,2,2,1,1,2,2,1,1,2,,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2,3,,4,1,,,,,
R_00000000002292,,1,,1,1,,,1,1,,,,,,,1,2,,,,,,9,,3,2,7,5,1,10,,,8,4,6,,,,,,,,,,,,,,,,,
R_00000000002293,2,1,,1,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002294,2,1,2,1,2,1,1,2,1,2,,,4,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,1,3,2,,,,
R_00000000002295,1,,1,,,1,1,,,1,,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,4,,2,,1,,,,,
R_00000000002296,2,1,1,2,1,2,1,2,1,2,,2,4,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002297,2,1,2,1,1,2,2,1,1,,,,4,3,,2,1,,,,,,5,,4,3,,,1,2,,,,,6,,,,,,,,,,,,,,,,,
R_00000000002298,1,2,1,2,2,1,1,2,2,1,,1,,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,4,,1,5,3,,,2,,,,,
R_00000000002299,2,1,2,1,1,2,1,2,1,2,,,,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000002300,1,2,2,1,2,1,2,1,1,2,,3,,4,,2,1,,,10,,,,12,1,8,9,7,4,3,,5,,11,2,,,,6,,,,,,,,,,,,,
R_00000000002301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
R_00000000002302,1,2,1,2,2,1,1,2,1,2,,1,4,3,2,,,2,9,4,10,11,,3,,,,,,,7,6,,,,5,1,12,8,,,,,,,,,,,,,
R_00000000002303,1,2,2,1,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,4,,,3,2,,,,,
R_00000000002304,2,1,2,1,2,1,2,1,1,2,,,3,,4,2,1,,,,,,,,,,,,,,,,,,,,,,,5,,4,,3,,2,,1,,,,
R_00000000002305,2,1,2,1,1,2,2,1,1,2,,,,,,2,1,,,,,,9,,5,3,7,6,2,4,,,1,8,,,,,,,,,,,,,,,,,,
R_00000000002306,2,1,2,1,1,2,2,1,1,2,,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,1,5,3,,,,
R_00000000002307,1,2,1,2,2,1,1,2,1,2,,4,1,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,,5,2,,,,,
R_00000000002308,1,,1,,,1,1,,,1,,3,4,2,1,,,1,9,11,5,4,,3,,,,,,,2,12,,,,10,8,6,7,,,,,,,,,,,,,
R_00000000002309,,,1,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,,4,,,,,
R_00000000002310,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002311,1,2,2,1,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1
R_00000000002312,2,1,2,1,1,2,2,1,1,2,,,,,,2,1,10,,,,,6,,9,5,7,3,11,8,,12,1,2,4,,,,,,,,,,,,,,,,,
R_00000000002313,2,1,2,1,1,2,2,1,1,2,,,,4,3,1,2,,,,,7,,,12,4,11,10,3,2,6,9,8,1,,,5,,,,,,,,,,,,,,,
R_00000000002314,2,1,2,1,1,2,2,1,2,1,,,4,3,,2,1,,,8,,,3,5,,2,,,,1,7,,4,6,,,,,,,,,,,,,,,,,,
R_00000000002315,1,2,1,2,2,1,1,2,2,1,,4,2,3,1,,,8,10,6,5,3,,4,,,,,,,9,12,,,,1,11,7,2,,,,,,,,,,,,,
R_00000000002316,,1,,1,1,2,,1,,,,4,3,,,1,2,,3,,,,,,2,1,,,6,4,,,5,7,,,,,,,,,,,,,,,,,,
R_00000000002317,2,1,2,1,1,2,2,1,2,1,,,3,4,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000002318,1,2,1,2,2,1,1,2,2,1,,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,2,,3,5,,,,
R_00000000002319,2,1,2,1,1,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,4,,5,3,,,,,
R_00000000002320,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002321,1,2,1,2,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,1,,2,,,,,
R_00000000002322,1,2,1,2,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,4,5,1,,,,,
R_00000000002323,1,2,2,1,2,1,2,1,2,1,,,2,,1,3,4,,,,,,,,,,,,,,,,,,,,,,,4,2,,,5,,1,,3,,,,
R_00000000002324,1,2,1,2,2,1,1,2,1,2,,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,4,1,5,,,,
R_00000000002325,1,2,1,2,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002326,,1,,1,1,,,1,1,,,,,,,1,2,,,,,,4,,6,7,1,5,2,10,,,9,3,8,,,,,,,,,,,,,,,,,
R_00000000002327,2,1,1,2,1,2,2,1,1,2,,,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,3,,,,
R_00000000002328,1,2,2,1,2,1,1,2,2,1,,1,3,2,4,,,,6,,5,4,9,3,12,10,,,,,,1,11,,,7,2,8,,,,,,,,,,,,,,
R_00000000002329,2,1,2,1,1,2,2,1,1,2,,,2,,4,3,1,,,,,,,,,,,,,,,,,,,,,,,4,,,3,2,5,,,1,,,,
R_00000000002330,1,2,2,1,2,1,1,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,3,,,,,
R_00000000002331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002332,1,2,2,1,1,2,2,1,2,1,,3,2,4,1,,,12,,5,8,7,3,1,,11,,,,2,,,10,4,,,9,,6,,,,,,,,,,,,,
R_00000000002333,1,,2,1,2,1,2,1,1,2,,3,2,,4,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,3,4,,2,,1,,,,
R_00000000002334,2,1,2,1,1,2,2,1,2,1,,4,3,,,2,1,,,,,,6,,3,1,7,10,5,8,,,4,2,9,,,,,,,,,,,,,,,,,
R_00000000002335,1,2,1,2,2,1,1,2,,,,1,3,4,2,,,5,10,12,2,3,,1,,,,,,,8,11,,,,6,7,9,4,,,,,,,,,,,,,1
R_00000000002336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
R_00000000002337,1,2,1,2,2,1,1,2,2,1,1,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
R_00000000002338,1,2,1,2,2,1,1,2,1,2,,1,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,3,,2,5,,,,
R_00000000002339,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002340,2,1,2,1,1,2,2,1,1,2,,,3,4,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2
R_00000000002341,,1,,1,1,,,1,1,,,,,3,4,2,1,,,,,,6,,5,2,4,,7,1,,,3,9,8,,,,,,,,,,,,,,,,,
R_00000000002342,1,2,1,2,2,1,1,2,,,,1,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002343,,,,,,,,,,,,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,4,,1,,,,,
R_00000000002344,2,1,2,1,1,2,2,1,1,2,,,,3,4,2,1,,,,,,3,12,9,7,2,6,4,1,,,10,8,5,,,11,,,,,,,,,,,,,,
R_00000000002345,1,,1,,,1,1,,,1,,4,3,2,1,,,5,6,8,4,7,,1,,,,,,,3,9,,,,11,2,12,10,,,,,,,,,,,,,
R_00000000002346,2,1,2,1,1,2,2,1,1,2,,3,,,4,2,1,9,,,,,2,8,,6,,,7,3,10,,5,4,1,,12,11,,,,,,,,,,,,,,
R_00000000002347,1,2,2,1,1,2,2,1,,,,1,,2,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2
R_00000000002348,2,1,2,1,1,2,2,1,2,1,,,,4,3,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000002349,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002350,,,1,2,2,1,1,2,1,2,,1,4,2,3,,,,,,,,,1,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,
R_00000000002351,2,1,2,1,1,2,2,1,1,2,,1,,3,,4,2,,,,,,3,,7,4,9,5,1,2,,,8,,6,10,11,12,,,,,,,,,,,,,,
R_00000000002352,1,2,1,2,2,1,1,2,2,1,,1,2,3,4,,,11,4,8,9,10,,5,,,,,,,3,7,,,,6,1,12,2,,,,,,,,,,,,,
R_00000000002353,2,1,2,1,2,1,2,1,1,2,,1,,2,4,,3,1,6,9,,11,,5,12,8,7,,2,4,10,,3,,,,,,,,,,,,,,,,,,,
R_00000000002354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002355,2,1,2,1,2,1,2,1,2,1,,4,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,3,4,,1,,,2,5,,,,,
R_00000000002356,1,2,2,1,1,2,2,1,2,1,,3,1,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,2,1,3,,,,
R_00000000002357,,1,,1,1,,,1,1,,,,,,,2,1,,,,,,9,,2,3,6,,7,4,,,1,5,8,,,,,,,,,,,,,,,,,
R_00000000002358,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,
R_00000000002359,1,2,1,2,2,1,1,2,1,2,,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,4,,1,5,,,,
R_00000000002360,2,1,2,1,1,2,2,1,2,1,,,4,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,5,,2,,4,,1,,3,,,,
R_00000000002361,2,1,2,1,1,2,2,1,1,2,,1,4,3,,,2,,,,,,,,,,,,,,,,,,,,,,,5,,2,,3,,4,,1,,,,
R_00000000002362,2,1,2,1,1,2,2,1,2,1,,3,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,,5,,4,,,,
R_00000000002363,,1,,1,1,,,1,2,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,5,,2,,4,,3,,1,,,,
R_00000000002364,1,,1,,,1,1,,,1,,4,3,1,2,,,2,9,8,5,7,,1,,,,,,,3,10,,,,12,4,6,11,,,,,,,,,,,,,
R_00000000002365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002367,2,1,2,1,2,1,2,1,2,1,,4,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,4,2,,,,,,
R_00000000002368,2,1,2,1,1,2,2,1,1,2,,,4,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,4,,3,,5,,1,,2,,,,
R_00000000002369,1,2,2,1,2,1,2,1,2,1,,,,,,,,,,,3,9,,1,6,7,,,12,2,4,,5,8,,10,,11,,,,,,,,,,,,,,
R_00000000002370,,1,,1,1,,,1,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
R_00000000002371,,1,,1,1,,,1,1,,,,,,,1,2,,,,,,4,,7,8,6,9,10,3,,,1,2,5,,,,,,,,,,,,,,,,,
R_00000000002372,2,1,2,1,2,1,1,2,2,1,,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,2,,,,,3,,,,
R_00000000002373,1,2,1,2,2,1,1,2,2,1,,4,3,1,2,,,,,5,3,,,7,,,,,,,2,,,,,8,1,4,6,,,,,,,,,,,,,
R_00000000002374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,5,4,2,,,,
R_00000000002375,2,1,2,1,1,2,2,1,2,1,,,4,3,,1,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000002376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002377,1,2,1,2,2,1,2,1,1,2,,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,3,,1,5,,,,,
R_00000000002378,1,2,2,1,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002379,,1,,1,1,,,1,1,,,4,,,3,1,2,,,,,,6,,4,5,1,9,,8,,,3,2,7,,,,,,,,,,,,,,,,,
R_00000000002380,1,2,1,2,2,1,2,1,1,2,,3,,1,2,,4,,,,,,,,,,,,,,,,,,,,,,,,2,1,,5,,3,,4,,,,
R_00000000002381,2,1,1,2,1,2,2,1,1,2,,1,2,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,1,2,4,,,,
R_00000000002382,2,1,2,1,1,2,2,1,1,2,,,,,,2,1,,,,,,10,,3,8,2,5,6,4,,,1,7,9,,,,,,,,,,,,,,,,,
R_00000000002383,1,2,2,1,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,2,,,,,,,,
R_00000000002384,2,1,,1,1,2,2,1,1,2,,2,3,,,4,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,1,,3,,,,
R_00000000002385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002386,,1,,1,1,,,1,1,2,,,,,,2,1,,,,,,5,,8,3,9,6,1,10,,,2,7,4,,,,,,,,,,,,,,,,1,
R_00000000002387,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002388,2,1,2,1,1,2,2,1,1,2,,1,,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,5,,3,,1,,4,,2,,,,
R_00000000002389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002390,1,2,2,1,2,1,1,2,1,2,,3,1,,,4,2,,,,,,,,,,,,,,,,,,,,,,,1,4,,,3,,,2,,,,,
R_00000000002391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
R_00000000002392,1,2,1,2,2,1,1,2,1,2,,,,,1,,,1,,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
R_00000000002393,2,1,1,2,2,1,2,1,1,2,,1,4,2,,,3,8,,,2,12,9,3,1,,,,,5,10,7,,4,,,11,,6,,,,,,,,,,,,,
R_00000000002394,2,1,2,1,1,2,2,1,1,2,,,,,,1,2,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002395,1,2,1,2,1,2,2,1,1,2,,,2,,4,3,1,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,3,1,,5,,,,
R_00000000002396,1,2,2,1,1,2,2,1,1,2,,2,1,4,,,3,10,12,8,,,2,4,3,,,,11,,,,9,6,,5,7,,1,,,,,,,,,,,,2,1
R_00000000002397,1,,1,,,1,1,,,1,,3,4,1,2,,,9,10,4,,11,,8,3,,,,,,1,7,,,,5,2,6,12,,,,,,,,,,,,,
R_00000000002398,1,2,1,2,2,1,1,2,,,,3,1,2,4,,,3,,2,9,5,,4,,,,,,,6,7,,,,11,1,8,10,,,,,,,,,,,,,
R_00000000002399,1,2,1,2,2,1,1,2,1,2,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,1,,,,,
R_00000000002400,2,1,2,1,1,2,2,1,2,1,,,4,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,3,,5,,2,,4,,1,,,,
R_00000000002401,1,2,1,2,2,1,1,2,1,2,,1,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,5,3,,4,,,,,
R_00000000002402,1,2,1,2,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,5,1,4,,,,
R_00000000002403,2,1,2,1,1,2,1,2,1,2,,,3,,4,1,2,,,,,,,,,,,,,,,,,,,,,,,5,4,,3,2,,,,1,,,,
R_00000000002404,1,,1,,,1,1,,2,1,,1,4,2,3,,,12,2,5,11,8,,10,,,,,,,3,1,,,,7,4,6,9,,,,,,,,,,,,,
R_00000000002405,2,1,2,1,1,2,2,1,1,2,,4,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,5,4,2,,3,,,,1,,,,
R_00000000002406,2,1,2,1,1,2,2,1,2,1,,4,3,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
R_00000000002407,2,1,1,2,2,1,1,2,2,1,,2,,3,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000002408,1,2,1,2,2,1,1,2,1,2,,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,3,,1,5,,,2,1
R_00000000002409,1,2,1,2,2,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000002410,,,,,,,,,,,,,,,,,,5,1,,,4,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,
R_00000000002411,1,,1,,,1,1,,1,,,,2,3,1,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
R_00000000002412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
R_00000000002413,1,2,1,2,,,2,1,1,2,,2,,1,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2
R_00000000002414,2,1,2,1,1,2,2,1,2,1,,3,,,4,2,1,,,,,,,,,,,,,,,,,,,,,,,2,,,5,1,,3,,4,,,,
R_00000000002415,1,2,1,2,1,2,1,2,1,2,,,,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002416,2,1,2,1,1,2,1,2,1,2,,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1
R_00000000002417,2,1,2,1,1,2,2,1,,,,3,,4,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
R_00000000002418,1,2,2,1,2,1,2,1,2,1,,1,,2,4,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,2,,3,4,1,,,,
R_00000000002419,1,,1,,,1,1,,,1,,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,4,,3,,,,,
R_00000000002420,1,2,2,1,1,2,2,1,1,2,,1,2,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,5,1,3,4,,,,,,
R_00000000002421,2,1,2,1,1,2,2,1,1,2,,4,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,4,3,2,,,,
R_00000000002422,2,1,2,1,1,2,2,1,1,2,,,2,4,,1,3,,,,,,,,,,,,,,,,,,,,,,,4,,5,,2,,3,,1,,,,
R_00000000002423,2,1,2,1,1,2,1,2,2,1,,,1,,2,4,3,,,1,,2,,,,3,,,,,,,,,4,,,5,,,,,,,,,,,,,,
R_00000000002424,2,1,1,2,2,1,2,1,2,1,,,1,2,3,,4,,,,,2,6,7,,,3,11,10,5,4,12,,8,9,,,,1,,,,,,,,,,,,,
R_00000000002425,1,,1,,,1,1,,,1,,4,1,2,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
R_00000000002426,1,2,1,2,1,2,1,2,2,1,,4,3,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002427,,1,,1,1,,,1,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
